version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 607487649814 eni-00ddb769db3d572ae - - - - - - - 1642052345 1642052377 - NODATA
2 607487649814 eni-08f7e684224b548a7 78.128.112.213 10.99.5.76 42170 38989 6 1 40 1642052377 1642052383 ACCEPT OK
2 607487649814 eni-08f7e684224b548a7 209.237.154.96 10.99.5.76 54549 4369 6 1 40 1642052377 1642052383 ACCEPT OK
2 unknown eni-00ddb769db3d572ae 45.146.166.117 10.99.6.172 49693 36799 6 1 40 1642052331 1642052380 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 64739 6 3 164 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 64739 443 6 5 291 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 59796 443 6 355 28790 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 59796 6 741 765487 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 59660 6 737 760371 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 59660 443 6 344 27873 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 60029 443 6 327 26527 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 60029 6 690 707893 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 21939 6 740 760949 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 21939 443 6 346 28450 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 108.228.23.128 10.99.4.24 60262 443 6 352 28570 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 108.228.23.128 443 60262 6 739 760897 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.149 10.99.4.24 443 4786 6 98 96650 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.149 4786 443 6 46 4194 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.1.97 10.99.4.24 443 25222 6 764 768293 1642052313 1642052373 ACCEPT OK
2 unknown eni-01372efd5f409b41b 10.99.4.24 10.99.1.97 25222 443 6 354 28719 1642052313 1642052373 ACCEPT OK
